Close Last Trade Day,Price,Units,Implied Values,Date
North Sea Brent Blend,70.18,USD/BBL,,2018-11-12
OPEC Basket Price,68.89,USD/BBL,,2018-11-12
"NYMEX Natural Gas: December, 2018",3.72,USD/MMBTU,,2018-11-12
"NYMEX Natural Gas: January, 2019",3.72,USD/MMBTU,,2018-11-12
"NYMEX Natural Gas: February, 2019",3.57,USD/MMBTU,,2018-11-12
"NYMEX Natural Gas: March, 2019",3.18,USD/MMBTU,,2018-11-12
Spectra - Station 2,-0.25,CAD/GJ,,2018-11-12
AECO/NGX Spot Price - Settlement,2.55,CAD/GJ,,2018-11-12
AECO/NGX Spot Price - Same Day Volume,449.6,TJ,,2018-11-12
"AECO/NGX Near-Month: December, 2018",2.56,CAD/GJ,,2018-11-12
NYMEX Today @ 10:00 AM MST,,,,2018-11-12
"WTI December, 2018 Contract",60.88,USD/BBL,,2018-11-12
Near-Month Gas Contract,3.79,USD/MMBTU,,2018-11-12
Daily Average US Exchange Rate,1.32,,,2018-11-12
 Expressed as a basis to WTI,,,,2018-11-12
"NYMEX-WTI: December, 2018",60.67,USD/BBL,,2018-11-09
"NYMEX-WTI: January, 2019",60.86,USD/BBL,,2018-11-09
"NYMEX-WTI: February, 2019",61.07,USD/BBL,,2018-11-09
"NYMEX-WTI: March, 2019",61.29,USD/BBL,,2018-11-09
NYMEX-WTI Year Ago Current Month Contract,56.81,USD/BBL,,2018-11-09
"Net Energy Sweet Closing Price: December, 2018",-34.6,USD/BBL,26.07,2018-11-09
"Net Energy SSP Closing Price: December, 2018",-30.5,USD/BBL,30.17,2018-11-09
"Net Energy WCS Closing Price: December, 2018",-42.25,USD/BBL,18.42,2018-11-09
"Net Energy/NYMEX WCC Closing Price: December, 2018",-43.0,USD/BBL,17.67,2018-11-09
Canadian Crude Index,26.04,USD/BBL,,2018-11-09
West Texas Intermediate Cash,60.66,USD/BBL,,2018-11-09
North Sea Brent Blend,70.65,USD/BBL,,2018-11-09
OPEC Basket Price,70.68,USD/BBL,,2018-11-09
"NYMEX Natural Gas: December, 2018",3.54,USD/MMBTU,,2018-11-09
"NYMEX Natural Gas: January, 2019",3.55,USD/MMBTU,,2018-11-09
"NYMEX Natural Gas: February, 2019",3.41,USD/MMBTU,,2018-11-09
"NYMEX Natural Gas: March, 2019",3.1,USD/MMBTU,,2018-11-09
Spectra - Station 2,-1.1,CAD/GJ,,2018-11-09
AECO/NGX Spot Price - Settlement,2.92,CAD/GJ,,2018-11-09
AECO/NGX Spot Price - Same Day Volume,1339.5,TJ,,2018-11-09
"AECO/NGX Near-Month: December, 2018",2.48,CAD/GJ,,2018-11-09
NYMEX Today @ 10:00 AM MST,,,,2018-11-09
"WTI December, 2018 Contract",59.88,USD/BBL,,2018-11-09
Near-Month Gas Contract,3.77,USD/MMBTU,,2018-11-09
Daily Average US Exchange Rate,1.31,,,2018-11-09
 Expressed as a basis to WTI,,,,2018-11-09
"NYMEX-WTI: December, 2018",61.67,USD/BBL,,2018-11-08
"NYMEX-WTI: January, 2019",61.82,USD/BBL,,2018-11-08
"NYMEX-WTI: February, 2019",62.0,USD/BBL,,2018-11-08
"NYMEX-WTI: March, 2019",62.2,USD/BBL,,2018-11-08
NYMEX-WTI Year Ago Current Month Contract,57.2,USD/BBL,,2018-11-08
"Net Energy Sweet Closing Price: December, 2018",-35.25,USD/BBL,26.42,2018-11-08
"Net Energy SSP Closing Price: December, 2018",-30.75,USD/BBL,30.92,2018-11-08
"Net Energy WCS Closing Price: December, 2018",-43.6,USD/BBL,18.07,2018-11-08
"Net Energy/NYMEX WCC Closing Price: December, 2018",-43.67,USD/BBL,18.0,2018-11-08
Canadian Crude Index,25.81,USD/BBL,,2018-11-08
West Texas Intermediate Cash,61.64,USD/BBL,,2018-11-08
North Sea Brent Blend,72.07,USD/BBL,,2018-11-08
OPEC Basket Price,70.63,USD/BBL,,2018-11-08
"NYMEX Natural Gas: December, 2018",3.56,USD/MMBTU,,2018-11-08
"NYMEX Natural Gas: January, 2019",3.57,USD/MMBTU,,2018-11-08
"NYMEX Natural Gas: February, 2019",3.43,USD/MMBTU,,2018-11-08
"NYMEX Natural Gas: March, 2019",3.11,USD/MMBTU,,2018-11-08
Spectra - Station 2,0.0,CAD/GJ,,2018-11-08
AECO/NGX Spot Price - Settlement,3.2,CAD/GJ,,2018-11-08
AECO/NGX Spot Price - Same Day Volume,1945.7,TJ,,2018-11-08
"AECO/NGX Near-Month: December, 2018",2.5,CAD/GJ,,2018-11-08
NYMEX Today @ 10:00 AM MST,,,,2018-11-08
"WTI December, 2018 Contract",61.1,USD/BBL,,2018-11-08
Near-Month Gas Contract,3.53,USD/MMBTU,,2018-11-08
Daily Average US Exchange Rate,1.31,,,2018-11-08
 Expressed as a basis to WTI,,,,2018-11-08
"NYMEX-WTI: December, 2018",62.21,USD/BBL,,2018-11-07
"NYMEX-WTI: January, 2019",62.34,USD/BBL,,2018-11-07
"NYMEX-WTI: February, 2019",62.46,USD/BBL,,2018-11-07
"NYMEX-WTI: March, 2019",62.6,USD/BBL,,2018-11-07
NYMEX-WTI Year Ago Current Month Contract,57.35,USD/BBL,,2018-11-07
"Net Energy Sweet Closing Price: December, 2018",-34.5,USD/BBL,27.71,2018-11-07
"Net Energy SSP Closing Price: December, 2018",-30.0,USD/BBL,32.21,2018-11-07
"Net Energy WCS Closing Price: December, 2018",-42.35,USD/BBL,19.86,2018-11-07
"Net Energy/NYMEX WCC Closing Price: December, 2018",-42.84,USD/BBL,19.37,2018-11-07
Canadian Crude Index,26.34,USD/BBL,,2018-11-07
West Texas Intermediate Cash,62.11,USD/BBL,,2018-11-07
North Sea Brent Blend,72.13,USD/BBL,,2018-11-07
OPEC Basket Price,70.88,USD/BBL,,2018-11-07
"NYMEX Natural Gas: December, 2018",3.56,USD/MMBTU,,2018-11-07
"NYMEX Natural Gas: January, 2019",3.58,USD/MMBTU,,2018-11-07
"NYMEX Natural Gas: February, 2019",3.44,USD/MMBTU,,2018-11-07
"NYMEX Natural Gas: March, 2019",3.11,USD/MMBTU,,2018-11-07
Spectra - Station 2,-2.5,CAD/GJ,,2018-11-07
AECO/NGX Spot Price - Settlement,2.74,CAD/GJ,,2018-11-07
AECO/NGX Spot Price - Same Day Volume,1596.0,TJ,,2018-11-07
"AECO/NGX Near-Month: December, 2018",2.56,CAD/GJ,,2018-11-07
NYMEX Today @ 10:00 AM MST,,,,2018-11-07
"WTI December, 2018 Contract",61.89,USD/BBL,,2018-11-07
Near-Month Gas Contract,3.52,USD/MMBTU,,2018-11-07
Daily Average US Exchange Rate,1.31,,,2018-11-07
 Expressed as a basis to WTI,,,,2018-11-07
"NYMEX-WTI: December, 2018",63.1,USD/BBL,,2018-11-06
"NYMEX-WTI: January, 2019",63.21,USD/BBL,,2018-11-06
"NYMEX-WTI: February, 2019",63.31,USD/BBL,,2018-11-06
"NYMEX-WTI: March, 2019",63.45,USD/BBL,,2018-11-06
NYMEX-WTI Year Ago Current Month Contract,55.64,USD/BBL,,2018-11-06
"Net Energy Sweet Closing Price: December, 2018",-33.85,USD/BBL,29.25,2018-11-06
"Net Energy SSP Closing Price: December, 2018",-29.5,USD/BBL,33.6,2018-11-06
"Net Energy WCS Closing Price: December, 2018",-42.0,USD/BBL,21.1,2018-11-06
"Net Energy/NYMEX WCC Closing Price: December, 2018",-42.62,USD/BBL,20.48,2018-11-06
Canadian Crude Index,26.63,USD/BBL,,2018-11-06
West Texas Intermediate Cash,63.07,USD/BBL,,2018-11-06
North Sea Brent Blend,73.17,USD/BBL,,2018-11-06
OPEC Basket Price,71.45,USD/BBL,,2018-11-06
"NYMEX Natural Gas: December, 2018",3.57,USD/MMBTU,,2018-11-06
"NYMEX Natural Gas: January, 2019",3.58,USD/MMBTU,,2018-11-06
"NYMEX Natural Gas: February, 2019",3.41,USD/MMBTU,,2018-11-06
"NYMEX Natural Gas: March, 2019",3.1,USD/MMBTU,,2018-11-06
Spectra - Station 2,-0.47,CAD/GJ,,2018-11-06
AECO/NGX Spot Price - Settlement,2.55,CAD/GJ,,2018-11-06
AECO/NGX Spot Price - Same Day Volume,1499.9,TJ,,2018-11-06
"AECO/NGX Near-Month: December, 2018",2.6,CAD/GJ,,2018-11-06
NYMEX Today @ 10:00 AM MST,,,,2018-11-06
"WTI December, 2018 Contract",61.5,USD/BBL,,2018-11-06
Near-Month Gas Contract,3.55,USD/MMBTU,,2018-11-06
Daily Average US Exchange Rate,1.31,,,2018-11-06
 Expressed as a basis to WTI,,,,2018-11-06
"NYMEX-WTI: December, 2018",63.14,USD/BBL,,2018-11-05
"NYMEX-WTI: January, 2019",63.28,USD/BBL,,2018-11-05
"NYMEX-WTI: February, 2019",63.41,USD/BBL,,2018-11-05
"NYMEX-WTI: March, 2019",63.56,USD/BBL,,2018-11-05
NYMEX-WTI Year Ago Current Month Contract,54.54,USD/BBL,,2018-11-05
"Net Energy Sweet Closing Price: December, 2018",-35.0,USD/BBL,28.14,2018-11-05
"Net Energy SSP Closing Price: December, 2018",-31.0,USD/BBL,32.14,2018-11-05
"Net Energy WCS Closing Price: December, 2018",-44.25,USD/BBL,18.89,2018-11-05
"Net Energy/NYMEX WCC Closing Price: December, 2018",-44.41,USD/BBL,18.73,2018-11-05
Canadian Crude Index,25.2,USD/BBL,,2018-11-05
West Texas Intermediate Cash,63.14,USD/BBL,,2018-11-05
North Sea Brent Blend,72.83,USD/BBL,,2018-11-05
OPEC Basket Price,71.36,USD/BBL,,2018-11-05
"NYMEX Natural Gas: December, 2018",3.28,USD/MMBTU,,2018-11-05
"NYMEX Natural Gas: January, 2019",3.31,USD/MMBTU,,2018-11-05
"NYMEX Natural Gas: February, 2019",3.19,USD/MMBTU,,2018-11-05
"NYMEX Natural Gas: March, 2019",2.94,USD/MMBTU,,2018-11-05
Spectra - Station 2,0.4,CAD/GJ,,2018-11-05
AECO/NGX Spot Price - Settlement,0.1,CAD/GJ,,2018-11-05
AECO/NGX Spot Price - Same Day Volume,656.7,TJ,,2018-11-05
"AECO/NGX Near-Month: December, 2018",2.38,CAD/GJ,,2018-11-05
NYMEX Today @ 10:00 AM MST,,,,2018-11-05
"WTI December, 2018 Contract",63.49,USD/BBL,,2018-11-05
Near-Month Gas Contract,3.55,USD/MMBTU,,2018-11-05
Daily Average US Exchange Rate,1.31,,,2018-11-05
 Expressed as a basis to WTI,,,,2018-11-05
"NYMEX-WTI: December, 2018",63.69,USD/BBL,,2018-11-02
"NYMEX-WTI: January, 2019",63.81,USD/BBL,,2018-11-02
"NYMEX-WTI: February, 2019",63.92,USD/BBL,,2018-11-02
"NYMEX-WTI: March, 2019",64.06,USD/BBL,,2018-11-02
NYMEX-WTI Year Ago Current Month Contract,54.3,USD/BBL,,2018-11-02
"Net Energy Sweet Closing Price: December, 2018",-37.0,USD/BBL,26.69,2018-11-02
"Net Energy SSP Closing Price: December, 2018",-32.75,USD/BBL,30.94,2018-11-02
"Net Energy WCS Closing Price: December, 2018",-45.0,USD/BBL,18.69,2018-11-02
"Net Energy/NYMEX WCC Closing Price: December, 2018",-45.06,USD/BBL,18.63,2018-11-02
Canadian Crude Index,24.44,USD/BBL,,2018-11-02
West Texas Intermediate Cash,63.62,USD/BBL,,2018-11-02
North Sea Brent Blend,72.89,USD/BBL,,2018-11-02
OPEC Basket Price,72.64,USD/BBL,,2018-11-02
"NYMEX Natural Gas: December, 2018",3.24,USD/MMBTU,,2018-11-02
"NYMEX Natural Gas: January, 2019",3.28,USD/MMBTU,,2018-11-02
"NYMEX Natural Gas: February, 2019",3.17,USD/MMBTU,,2018-11-02
"NYMEX Natural Gas: March, 2019",2.94,USD/MMBTU,,2018-11-02
Spectra - Station 2,0.29,CAD/GJ,,2018-11-02
AECO/NGX Spot Price - Settlement,0.0,CAD/GJ,,2018-11-02
AECO/NGX Spot Price - Same Day Volume,1464.7,TJ,,2018-11-02
"AECO/NGX Near-Month: December, 2018",2.29,CAD/GJ,,2018-11-02
NYMEX Today @ 10:00 AM MST,,,,2018-11-02
"WTI December, 2018 Contract",63.4,USD/BBL,,2018-11-02
Near-Month Gas Contract,3.21,USD/MMBTU,,2018-11-02
Daily Average US Exchange Rate,1.31,,,2018-11-02
 Expressed as a basis to WTI,,,,2018-11-02
"NYMEX-WTI: December, 2018",65.31,USD/BBL,,2018-11-01
"NYMEX-WTI: January, 2019",65.44,USD/BBL,,2018-11-01
"NYMEX-WTI: February, 2019",65.58,USD/BBL,,2018-11-01
"NYMEX-WTI: March, 2019",65.73,USD/BBL,,2018-11-01
NYMEX-WTI Year Ago Current Month Contract,54.38,USD/BBL,,2018-11-01
"Net Energy Sweet Closing Price: December, 2018",-35.25,USD/BBL,30.06,2018-11-01
"Net Energy SSP Closing Price: December, 2018",-31.0,USD/BBL,34.31,2018-11-01
"Net Energy WCS Closing Price: December, 2018",-43.0,USD/BBL,22.31,2018-11-01
"Net Energy/NYMEX WCC Closing Price: December, 2018",-43.0,USD/BBL,22.31,2018-11-01
Canadian Crude Index,26.36,USD/BBL,,2018-11-01
West Texas Intermediate Cash,65.26,USD/BBL,,2018-11-01
North Sea Brent Blend,75.47,USD/BBL,,2018-11-01
OPEC Basket Price,,USD/BBL,,2018-11-01
"NYMEX Natural Gas: December, 2018",3.26,USD/MMBTU,,2018-11-01
"NYMEX Natural Gas: January, 2019",3.3,USD/MMBTU,,2018-11-01
"NYMEX Natural Gas: February, 2019",3.21,USD/MMBTU,,2018-11-01
"NYMEX Natural Gas: March, 2019",2.97,USD/MMBTU,,2018-11-01
Spectra - Station 2,0.15,CAD/GJ,,2018-11-01
AECO/NGX Spot Price - Settlement,0.65,CAD/GJ,,2018-11-01
AECO/NGX Spot Price - Same Day Volume,916.0,TJ,,2018-11-01
"AECO/NGX Near-Month: December, 2018",2.3,CAD/GJ,,2018-11-01
NYMEX Today @ 10:00 AM MST,,,,2018-11-01
"WTI December, 2018 Contract",63.26,USD/BBL,,2018-11-01
Near-Month Gas Contract,3.24,USD/MMBTU,,2018-11-01
Daily Average US Exchange Rate,1.31,,,2018-11-01
 Expressed as a basis to WTI,,,,2018-11-01
"NYMEX-WTI: December, 2018",66.18,USD/BBL,,2018-10-31
"NYMEX-WTI: January, 2019",66.31,USD/BBL,,2018-10-31
"NYMEX-WTI: February, 2019",66.42,USD/BBL,,2018-10-31
"NYMEX-WTI: March, 2019",66.55,USD/BBL,,2018-10-31
NYMEX-WTI Year Ago Current Month Contract,54.15,USD/BBL,,2018-10-31
"Net Energy Sweet Closing Price: December, 2018",-35.0,USD/BBL,31.18,2018-10-31
"Net Energy SSP Closing Price: December, 2018",-31.0,USD/BBL,35.18,2018-10-31
"Net Energy WCS Closing Price: December, 2018",-42.0,USD/BBL,24.18,2018-10-31
"Net Energy/NYMEX WCC Closing Price: December, 2018",-42.0,USD/BBL,24.18,2018-10-31
Canadian Crude Index,27.8,USD/BBL,,2018-10-31
West Texas Intermediate Cash,66.13,USD/BBL,,2018-10-31
North Sea Brent Blend,75.91,USD/BBL,,2018-10-31
OPEC Basket Price,75.51,USD/BBL,,2018-10-31
"NYMEX Natural Gas: December, 2018",3.19,USD/MMBTU,,2018-10-31
"NYMEX Natural Gas: January, 2019",3.24,USD/MMBTU,,2018-10-31
"NYMEX Natural Gas: February, 2019",3.16,USD/MMBTU,,2018-10-31
"NYMEX Natural Gas: March, 2019",2.93,USD/MMBTU,,2018-10-31
Spectra - Station 2,0.04,CAD/GJ,,2018-10-31
AECO/NGX Spot Price - Settlement,0.62,CAD/GJ,,2018-10-31
AECO/NGX Spot Price - Same Day Volume,889.5,TJ,,2018-10-31
"AECO/NGX Near-Month: December, 2018",2.26,CAD/GJ,,2018-10-31
NYMEX Today @ 10:00 AM MST,,,,2018-10-31
"WTI December, 2018 Contract",66.36,USD/BBL,,2018-10-31
Near-Month Gas Contract,3.24,USD/MMBTU,,2018-10-31
Daily Average US Exchange Rate,1.31,,,2018-10-31
 Expressed as a basis to WTI,,,,2018-10-31
"NYMEX-WTI: December, 2018",67.04,USD/BBL,,2018-10-30
"NYMEX-WTI: January, 2019",67.21,USD/BBL,,2018-10-30
"NYMEX-WTI: February, 2019",67.34,USD/BBL,,2018-10-30
"NYMEX-WTI: March, 2019",67.48,USD/BBL,,2018-10-30
NYMEX-WTI Year Ago Current Month Contract,53.9,USD/BBL,,2018-10-30
"Net Energy Sweet Closing Price: December, 2018",-28.0,USD/BBL,39.04,2018-10-30
"Net Energy SSP Closing Price: December, 2018",-27.0,USD/BBL,40.04,2018-10-30
"Net Energy WCS Closing Price: December, 2018",-42.35,USD/BBL,24.69,2018-10-30
"Net Energy/NYMEX WCC Closing Price: December, 2018",-42.35,USD/BBL,24.69,2018-10-30
Canadian Crude Index,28.53,USD/BBL,,2018-10-30
West Texas Intermediate Cash,66.95,USD/BBL,,2018-10-30
North Sea Brent Blend,77.34,USD/BBL,,2018-10-30
OPEC Basket Price,76.07,USD/BBL,,2018-10-30
"NYMEX Natural Gas: November, 2018",3.19,USD/MMBTU,,2018-10-30
"NYMEX Natural Gas: December, 2018",3.2,USD/MMBTU,,2018-10-30
"NYMEX Natural Gas: January, 2019",3.26,USD/MMBTU,,2018-10-30
"NYMEX Natural Gas: February, 2019",3.18,USD/MMBTU,,2018-10-30
Spectra - Station 2,0.15,CAD/GJ,,2018-10-30
AECO/NGX Spot Price - Settlement,0.57,CAD/GJ,,2018-10-30
AECO/NGX Spot Price - Same Day Volume,921.7,TJ,,2018-10-30
"AECO/NGX Near-Month: November, 2018",1.78,CAD/GJ,,2018-10-30
NYMEX Today @ 10:00 AM MST,,,,2018-10-30
"WTI December, 2018 Contract",66.55,USD/BBL,,2018-10-30
Near-Month Gas Contract,3.18,USD/MMBTU,,2018-10-30
Daily Average US Exchange Rate,1.31,,,2018-10-30
 Expressed as a basis to WTI,,,,2018-10-30
"NYMEX-WTI: December, 2018",67.59,USD/BBL,,2018-10-29
"NYMEX-WTI: January, 2019",67.75,USD/BBL,,2018-10-29
"NYMEX-WTI: February, 2019",67.84,USD/BBL,,2018-10-29
"NYMEX-WTI: March, 2019",67.93,USD/BBL,,2018-10-29
NYMEX-WTI Year Ago Current Month Contract,52.64,USD/BBL,,2018-10-29
"Net Energy Sweet Closing Price: December, 2018",-28.0,USD/BBL,39.59,2018-10-29
"Net Energy SSP Closing Price: December, 2018",-27.0,USD/BBL,40.59,2018-10-29
"Net Energy WCS Closing Price: December, 2018",-43.0,USD/BBL,24.59,2018-10-29
"Net Energy/NYMEX WCC Closing Price: December, 2018",-43.0,USD/BBL,24.59,2018-10-29
Canadian Crude Index,28.73,USD/BBL,,2018-10-29
West Texas Intermediate Cash,67.59,USD/BBL,,2018-10-29
North Sea Brent Blend,77.62,USD/BBL,,2018-10-29
OPEC Basket Price,75.71,USD/BBL,,2018-10-29
"NYMEX Natural Gas: November, 2018",3.19,USD/MMBTU,,2018-10-29
"NYMEX Natural Gas: December, 2018",3.23,USD/MMBTU,,2018-10-29
"NYMEX Natural Gas: January, 2019",3.29,USD/MMBTU,,2018-10-29
"NYMEX Natural Gas: February, 2019",3.21,USD/MMBTU,,2018-10-29
Spectra - Station 2,0.03,CAD/GJ,,2018-10-29
AECO/NGX Spot Price - Settlement,0.9,CAD/GJ,,2018-10-29
AECO/NGX Spot Price - Same Day Volume,603.7,TJ,,2018-10-29
"AECO/NGX Near-Month: November, 2018",1.82,CAD/GJ,,2018-10-29
NYMEX Today @ 10:00 AM MST,,,,2018-10-29
"WTI December, 2018 Contract",67.22,USD/BBL,,2018-10-29
Near-Month Gas Contract,3.15,USD/MMBTU,,2018-10-29
Daily Average US Exchange Rate,1.31,,,2018-10-29
 Expressed as a basis to WTI,,,,2018-10-29
"NYMEX-WTI: December, 2018",67.33,USD/BBL,,2018-10-26
"NYMEX-WTI: January, 2019",67.44,USD/BBL,,2018-10-26
"NYMEX-WTI: February, 2019",67.51,USD/BBL,,2018-10-26
"NYMEX-WTI: March, 2019",67.58,USD/BBL,,2018-10-26
NYMEX-WTI Year Ago Current Month Contract,52.18,USD/BBL,,2018-10-26
"Net Energy Sweet Closing Price: December, 2018",-28.0,USD/BBL,39.33,2018-10-26
"Net Energy SSP Closing Price: December, 2018",-27.0,USD/BBL,40.33,2018-10-26
"Net Energy WCS Closing Price: December, 2018",-45.0,USD/BBL,22.33,2018-10-26
"Net Energy/NYMEX WCC Closing Price: December, 2018",-45.0,USD/BBL,22.33,2018-10-26
Canadian Crude Index,28.43,USD/BBL,,2018-10-26
West Texas Intermediate Cash,67.15,USD/BBL,,2018-10-26
North Sea Brent Blend,76.89,USD/BBL,,2018-10-26
OPEC Basket Price,,USD/BBL,,2018-10-26
"NYMEX Natural Gas: November, 2018",3.2,USD/MMBTU,,2018-10-26
"NYMEX Natural Gas: December, 2018",3.26,USD/MMBTU,,2018-10-26
"NYMEX Natural Gas: January, 2019",3.32,USD/MMBTU,,2018-10-26
"NYMEX Natural Gas: February, 2019",3.23,USD/MMBTU,,2018-10-26
Spectra - Station 2,0.15,CAD/GJ,,2018-10-26
AECO/NGX Spot Price - Settlement,0.8,CAD/GJ,,2018-10-26
AECO/NGX Spot Price - Same Day Volume,1449.0,TJ,,2018-10-26
"AECO/NGX Near-Month: November, 2018",1.8,CAD/GJ,,2018-10-26
NYMEX Today @ 10:00 AM MST,,,,2018-10-26
"WTI December, 2018 Contract",67.58,USD/BBL,,2018-10-26
Near-Month Gas Contract,3.15,USD/MMBTU,,2018-10-26
Daily Average US Exchange Rate,1.31,,,2018-10-26
 Expressed as a basis to WTI,,,,2018-10-26
"NYMEX-WTI: December, 2018",66.82,USD/BBL,,2018-10-25
"NYMEX-WTI: January, 2019",66.96,USD/BBL,,2018-10-25
"NYMEX-WTI: February, 2019",67.06,USD/BBL,,2018-10-25
"NYMEX-WTI: March, 2019",67.16,USD/BBL,,2018-10-25
NYMEX-WTI Year Ago Current Month Contract,52.47,USD/BBL,,2018-10-25
"Net Energy Sweet Closing Price: December, 2018",-28.0,USD/BBL,38.82,2018-10-25
"Net Energy SSP Closing Price: December, 2018",-27.0,USD/BBL,39.82,2018-10-25
"Net Energy WCS Closing Price: December, 2018",-45.0,USD/BBL,21.82,2018-10-25
"Net Energy/NYMEX WCC Closing Price: December, 2018",-45.0,USD/BBL,21.82,2018-10-25
Canadian Crude Index,26.2,USD/BBL,,2018-10-25
West Texas Intermediate Cash,66.46,USD/BBL,,2018-10-25
North Sea Brent Blend,76.17,USD/BBL,,2018-10-25
OPEC Basket Price,75.04,USD/BBL,,2018-10-25
"NYMEX Natural Gas: November, 2018",3.17,USD/MMBTU,,2018-10-25
"NYMEX Natural Gas: December, 2018",3.23,USD/MMBTU,,2018-10-25
"NYMEX Natural Gas: January, 2019",3.29,USD/MMBTU,,2018-10-25
"NYMEX Natural Gas: February, 2019",3.2,USD/MMBTU,,2018-10-25
Spectra - Station 2,-0.15,CAD/GJ,,2018-10-25
AECO/NGX Spot Price - Settlement,-0.1,CAD/GJ,,2018-10-25
AECO/NGX Spot Price - Same Day Volume,1475.8,TJ,,2018-10-25
"AECO/NGX Near-Month: November, 2018",1.82,CAD/GJ,,2018-10-25
NYMEX Today @ 10:00 AM MST,,,,2018-10-25
"WTI December, 2018 Contract",67.39,USD/BBL,,2018-10-25
Near-Month Gas Contract,3.2,USD/MMBTU,,2018-10-25
daily Average US Exchange Rate,1.3,,,2018-10-25
 Expressed as a basis to WTI,,,,2018-10-25
"NYMEX-WTI: December, 2018",66.43,USD/BBL,,2018-10-24
"NYMEX-WTI: January, 2019",66.62,USD/BBL,,2018-10-24
"NYMEX-WTI: February, 2019",66.76,USD/BBL,,2018-10-24
"NYMEX-WTI: March, 2019",66.89,USD/BBL,,2018-10-24
NYMEX-WTI Year Ago Current Month Contract,51.9,USD/BBL,,2018-10-24
"Net Energy Sweet Closing Price: December, 2018",-28.0,USD/BBL,38.43,2018-10-24
"Net Energy SSP Closing Price: December, 2018",-27.0,USD/BBL,39.43,2018-10-24
"Net Energy WCS Closing Price: December, 2018",-47.0,USD/BBL,19.43,2018-10-24
"Net Energy/NYMEX WCC Closing Price: December, 2018",-47.0,USD/BBL,19.43,2018-10-24
Canadian Crude Index,24.94,USD/BBL,,2018-10-24
West Texas Intermediate Cash,66.44,USD/BBL,,2018-10-24
North Sea Brent Blend,76.44,USD/BBL,,2018-10-24
OPEC Basket Price,77.11,USD/BBL,,2018-10-24
"NYMEX Natural Gas: November, 2018",3.21,USD/MMBTU,,2018-10-24
"NYMEX Natural Gas: December, 2018",3.28,USD/MMBTU,,2018-10-24
"NYMEX Natural Gas: January, 2019",3.35,USD/MMBTU,,2018-10-24
"NYMEX Natural Gas: February, 2019",3.26,USD/MMBTU,,2018-10-24
Spectra - Station 2,0.58,CAD/GJ,,2018-10-24
AECO/NGX Spot Price - Settlement,0.19,CAD/GJ,,2018-10-24
AECO/NGX Spot Price - Same Day Volume,1342.4,TJ,,2018-10-24
"AECO/NGX Near-Month: November, 2018",1.94,CAD/GJ,,2018-10-24
NYMEX Today @ 10:00 AM MST,,,,2018-10-24
"WTI December, 2018 Contract",67.2,USD/BBL,,2018-10-24
Near-Month Gas Contract,3.22,USD/MMBTU,,2018-10-24
Daily Average US Exchange Rate,1.31,,,2018-10-24
 Expressed as a basis to WTI,,,,2018-10-24
"NYMEX-WTI: November, 2018",69.17,USD/BBL,,2018-10-23
"NYMEX-WTI: December, 2018",69.36,USD/BBL,,2018-10-23
"NYMEX-WTI: January, 2019",69.49,USD/BBL,,2018-10-23
"NYMEX-WTI: February, 2019",69.57,USD/BBL,,2018-10-23
NYMEX-WTI Year Ago Current Month Contract,51.47,USD/BBL,,2018-10-23
"Net Energy Sweet Closing Price: December, 2018",-28.0,USD/BBL,41.17,2018-10-23
"Net Energy SSP Closing Price: December, 2018",-27.0,USD/BBL,42.17,2018-10-23
"Net Energy WCS Closing Price: December, 2018",-44.0,USD/BBL,25.17,2018-10-23
"Net Energy/NYMEX WCC Closing Price: December, 2018",-44.0,USD/BBL,25.17,2018-10-23
Canadian Crude Index,29.81,USD/BBL,,2018-10-23
West Texas Intermediate Cash,69.2,USD/BBL,,2018-10-23
North Sea Brent Blend,79.83,USD/BBL,,2018-10-23
OPEC Basket Price,78.68,USD/BBL,,2018-10-23
"NYMEX Natural Gas: November, 2018",3.14,USD/MMBTU,,2018-10-23
"NYMEX Natural Gas: December, 2018",3.21,USD/MMBTU,,2018-10-23
"NYMEX Natural Gas: January, 2019",3.29,USD/MMBTU,,2018-10-23
"NYMEX Natural Gas: February, 2019",3.21,USD/MMBTU,,2018-10-23
Spectra - Station 2,0.65,CAD/GJ,,2018-10-23
AECO/NGX Spot Price - Settlement,1.17,CAD/GJ,,2018-10-23
AECO/NGX Spot Price - Same Day Volume,1351.2,TJ,,2018-10-23
"AECO/NGX Near-Month: November, 2018",1.97,CAD/GJ,,2018-10-23
NYMEX Today @ 10:00 AM MST,,,,2018-10-23
"WTI December, 2018 Contract",66.28,USD/BBL,,2018-10-23
Near-Month Gas Contract,3.21,USD/MMBTU,,2018-10-23
Daily Average US Exchange Rate,1.31,,,2018-10-23
 Expressed as a basis to WTI,,,,2018-10-23
"NYMEX-WTI: November, 2018",69.12,USD/BBL,,2018-10-22
"NYMEX-WTI: December, 2018",69.28,USD/BBL,,2018-10-22
"NYMEX-WTI: January, 2019",69.35,USD/BBL,,2018-10-22
"NYMEX-WTI: February, 2019",69.39,USD/BBL,,2018-10-22
NYMEX-WTI Year Ago Current Month Contract,51.29,USD/BBL,,2018-10-22
"Net Energy Sweet Closing Price: December, 2018",-25.0,USD/BBL,44.12,2018-10-22
"Net Energy SSP Closing Price: December, 2018",-22.0,USD/BBL,47.12,2018-10-22
