Month,Open,High,Low,Last,Change,Settle,Estimated Volume,Prior Day Open Interest,Trade Date,Settlement
NOV_25,,,,,-0.02,54.33,0.0,10.0,2019-03-07,Final
DEC_25,,,,,-0.02,54.29,0.0,10.0,2019-03-07,Final
JAN_26,,,,,-0.02,54.3,0.0,0.0,2019-03-07,Final
FEB_26,,,,,-0.02,54.29,0.0,0.0,2019-03-07,Final
MAR_26,,,,,-0.02,54.31,0.0,0.0,2019-03-07,Final
APR_26,,,,,-0.02,54.29,0.0,0.0,2019-03-07,Final
MAY_26,,,,,-0.02,54.29,0.0,0.0,2019-03-07,Final
JUN_26,,,,,-0.02,54.32,0.0,0.0,2019-03-07,Final
JUL_26,,,,,-0.02,54.31,0.0,0.0,2019-03-07,Final
AUG_26,,,,,-0.02,54.31,0.0,0.0,2019-03-07,Final
SEP_26,,,,,-0.02,54.33,0.0,0.0,2019-03-07,Final
OCT_26,,,,,-0.02,54.36,0.0,0.0,2019-03-07,Final
NOV_26,,,,,-0.02,54.33,0.0,0.0,2019-03-07,Final
DEC_26,,,,,-0.02,54.29,0.0,0.0,2019-03-07,Final
JAN_27,,,,,-0.02,54.29,0.0,0.0,2019-03-07,Final
FEB_27,,,,,-0.02,54.27,0.0,0.0,2019-03-07,Final
MAR_27,,,,,-0.02,54.26,0.0,0.0,2019-03-07,Final
APR_27,,,,,-0.02,54.24,0.0,0.0,2019-03-07,Final
MAY_27,,,,,-0.02,54.23,0.0,0.0,2019-03-07,Final
JUN_27,,,,,-0.02,54.25,0.0,0.0,2019-03-07,Final
JUL_27,,,,,-0.02,54.23,0.0,0.0,2019-03-07,Final
AUG_27,,,,,-0.02,54.22,0.0,0.0,2019-03-07,Final
SEP_27,,,,,-0.02,54.23,0.0,0.0,2019-03-07,Final
OCT_27,,,,,-0.02,54.25,0.0,0.0,2019-03-07,Final
NOV_27,,,,,-0.02,54.22,0.0,0.0,2019-03-07,Final
DEC_27,,,,,-0.02,54.16,0.0,0.0,2019-03-07,Final
Total,,,,,,,1310.0,146748.0,2019-03-07,Final
"Last_Updated:_Friday,_08_Mar_2019_10:32_PM_About_This_Report",,,,,,,,,2019-03-07,Final
MAR_19,,,,,-0.28,56.37,423.0,14964.0,2019-03-06,Final
APR_19,,,,,-0.31,56.76,476.0,9109.0,2019-03-06,Final
MAY_19,,,,,-0.29,57.26,37.0,7317.0,2019-03-06,Final
JUN_19,,,,,-0.26,57.73,37.0,7357.0,2019-03-06,Final
JUL_19,,,,,-0.24,58.11,37.0,7490.0,2019-03-06,Final
AUG_19,,,,,-0.22,58.38,37.0,7532.0,2019-03-06,Final
SEP_19,,,,,-0.2,58.52,37.0,7228.0,2019-03-06,Final
OCT_19,,,,,-0.18,58.59,12.0,7113.0,2019-03-06,Final
NOV_19,,,,,-0.16,58.6,12.0,7222.0,2019-03-06,Final
DEC_19,,,,,-0.14,58.55,12.0,7666.0,2019-03-06,Final
JAN_20,,,,,-0.12,58.46,3.0,4561.0,2019-03-06,Final
FEB_20,,,,,-0.11,58.36,3.0,4103.0,2019-03-06,Final
MAR_20,,,,,-0.1,58.23,3.0,4103.0,2019-03-06,Final
APR_20,,,,,-0.09,58.08,3.0,4047.0,2019-03-06,Final
MAY_20,,,,,-0.09,57.93,3.0,4054.0,2019-03-06,Final
JUN_20,,,,,-0.08,57.77,3.0,4003.0,2019-03-06,Final
JUL_20,,,,,-0.08,57.59,3.0,4048.0,2019-03-06,Final
AUG_20,,,,,-0.08,57.44,3.0,4046.0,2019-03-06,Final
SEP_20,,,,,-0.07,57.3,3.0,4041.0,2019-03-06,Final
OCT_20,,,,,-0.07,57.17,3.0,4460.0,2019-03-06,Final
NOV_20,,,,,-0.07,57.04,3.0,4436.0,2019-03-06,Final
DEC_20,,,,,-0.07,56.84,3.0,4506.0,2019-03-06,Final
JAN_21,,,,,-0.06,56.66,0.0,916.0,2019-03-06,Final
FEB_21,,,,,-0.07,56.52,0.0,915.0,2019-03-06,Final
MAR_21,,,,,-0.07,56.36,0.0,914.0,2019-03-06,Final
APR_21,,,,,-0.07,56.22,0.0,689.0,2019-03-06,Final
MAY_21,,,,,-0.06,56.12,0.0,689.0,2019-03-06,Final
JUN_21,,,,,-0.07,55.97,0.0,678.0,2019-03-06,Final
JUL_21,,,,,-0.07,55.83,0.0,736.0,2019-03-06,Final
AUG_21,,,,,-0.07,55.72,0.0,736.0,2019-03-06,Final
SEP_21,,,,,-0.08,55.62,0.0,753.0,2019-03-06,Final
OCT_21,,,,,-0.07,55.54,0.0,827.0,2019-03-06,Final
NOV_21,,,,,-0.07,55.45,0.0,826.0,2019-03-06,Final
DEC_21,,,,,-0.07,55.29,0.0,826.0,2019-03-06,Final
JAN_22,,,,,-0.06,55.17,0.0,128.0,2019-03-06,Final
FEB_22,,,,,-0.06,55.06,0.0,131.0,2019-03-06,Final
MAR_22,,,,,-0.06,54.94,0.0,128.0,2019-03-06,Final
APR_22,,,,,-0.07,54.85,0.0,129.0,2019-03-06,Final
MAY_22,,,,,-0.07,54.78,0.0,127.0,2019-03-06,Final
JUN_22,,,,,-0.06,54.7,0.0,112.0,2019-03-06,Final
JUL_22,,,,,-0.06,54.63,0.0,111.0,2019-03-06,Final
AUG_22,,,,,-0.06,54.57,0.0,111.0,2019-03-06,Final
SEP_22,,,,,-0.06,54.52,0.0,112.0,2019-03-06,Final
OCT_22,,,,,-0.06,54.48,0.0,111.0,2019-03-06,Final
NOV_22,,,,,-0.07,54.42,0.0,112.0,2019-03-06,Final
DEC_22,,,,,-0.07,54.36,0.0,111.0,2019-03-06,Final
JAN_23,,,,,-0.07,54.32,0.0,83.0,2019-03-06,Final
